ticker,name,sector,tier,index
MMM,3M,Industrials,large,SP500
AOS,A. O. Smith,Industrials,large,SP500
ABT,Abbott Laboratories,Health Care,large,SP500
ABBV,AbbVie,Health Care,large,SP500
ACN,Accenture,Information Technology,large,SP500
ADBE,Adobe Inc.,Information Technology,large,SP500
AMD,Advanced Micro Devices,Information Technology,large,SP500
AES,AES Corporation,Utilities,large,SP500
AFL,Aflac,Financials,large,SP500
A,Agilent Technologies,Health Care,large,SP500
APD,Air Products,Materials,large,SP500
ABNB,Airbnb,Consumer Discretionary,large,SP500
AKAM,Akamai Technologies,Information Technology,large,SP500
ALB,Albemarle Corporation,Materials,large,SP500
ARE,Alexandria Real Estate Equities,Real Estate,large,SP500
ALGN,Align Technology,Health Care,large,SP500
ALLE,Allegion,Industrials,large,SP500
LNT,Alliant Energy,Utilities,large,SP500
ALL,Allstate,Financials,large,SP500
GOOGL,Alphabet Inc. (Class A),Communication Services,large,SP500
GOOG,Alphabet Inc. (Class C),Communication Services,large,SP500
MO,Altria,Consumer Staples,large,SP500
AMZN,Amazon,Consumer Discretionary,large,SP500
AMCR,Amcor,Materials,large,SP500
AEE,Ameren,Utilities,large,SP500
AEP,American Electric Power,Utilities,large,SP500
AXP,American Express,Financials,large,SP500
AIG,American International Group,Financials,large,SP500
AMT,American Tower,Real Estate,large,SP500
AWK,American Water Works,Utilities,large,SP500
AMP,Ameriprise Financial,Financials,large,SP500
AME,Ametek,Industrials,large,SP500
AMGN,Amgen,Health Care,large,SP500
APH,Amphenol,Information Technology,large,SP500
ADI,Analog Devices,Information Technology,large,SP500
AON,Aon plc,Financials,large,SP500
APA,APA Corporation,Energy,large,SP500
APO,Apollo Global Management,Financials,large,SP500
AAPL,Apple Inc.,Information Technology,large,SP500
AMAT,Applied Materials,Information Technology,large,SP500
APP,AppLovin,Information Technology,large,SP500
APTV,Aptiv,Consumer Discretionary,large,SP500
ACGL,Arch Capital Group,Financials,large,SP500
ADM,Archer Daniels Midland,Consumer Staples,large,SP500
ARES,Ares Management,Financials,large,SP500
ANET,Arista Networks,Information Technology,large,SP500
AJG,Arthur J. Gallagher & Co.,Financials,large,SP500
AIZ,Assurant,Financials,large,SP500
T,AT&T,Communication Services,large,SP500
ATO,Atmos Energy,Utilities,large,SP500
ADSK,Autodesk,Information Technology,large,SP500
ADP,Automatic Data Processing,Industrials,large,SP500
AZO,AutoZone,Consumer Discretionary,large,SP500
AVB,AvalonBay Communities,Real Estate,large,SP500
AVY,Avery Dennison,Materials,large,SP500
AXON,Axon Enterprise,Industrials,large,SP500
BKR,Baker Hughes,Energy,large,SP500
BALL,Ball Corporation,Materials,large,SP500
BAC,Bank of America,Financials,large,SP500
BAX,Baxter International,Health Care,large,SP500
BDX,Becton Dickinson,Health Care,large,SP500
BRK-B,Berkshire Hathaway,Financials,large,SP500
BBY,Best Buy,Consumer Discretionary,large,SP500
TECH,Bio-Techne,Health Care,large,SP500
BIIB,Biogen,Health Care,large,SP500
BLK,BlackRock,Financials,large,SP500
BX,Blackstone Inc.,Financials,large,SP500
XYZ,"Block, Inc.",Financials,large,SP500
BNY,BNY Mellon,Financials,large,SP500
BA,Boeing,Industrials,large,SP500
BKNG,Booking Holdings,Consumer Discretionary,large,SP500
BSX,Boston Scientific,Health Care,large,SP500
BMY,Bristol Myers Squibb,Health Care,large,SP500
AVGO,Broadcom,Information Technology,large,SP500
BR,Broadridge Financial Solutions,Industrials,large,SP500
BRO,Brown & Brown,Financials,large,SP500
BF-B,Brown–Forman,Consumer Staples,large,SP500
BLDR,Builders FirstSource,Industrials,large,SP500
BG,Bunge Global,Consumer Staples,large,SP500
BXP,"BXP, Inc.",Real Estate,large,SP500
CHRW,C.H. Robinson,Industrials,large,SP500
CDNS,Cadence Design Systems,Information Technology,large,SP500
CPT,Camden Property Trust,Real Estate,large,SP500
COF,Capital One,Financials,large,SP500
CAH,Cardinal Health,Health Care,large,SP500
CCL,Carnival Corporation,Consumer Discretionary,large,SP500
CARR,Carrier Global,Industrials,large,SP500
CVNA,Carvana,Consumer Discretionary,large,SP500
CASY,Casey's,Consumer Staples,large,SP500
CAT,Caterpillar Inc.,Industrials,large,SP500
CBOE,Cboe Global Markets,Financials,large,SP500
CBRE,CBRE Group,Real Estate,large,SP500
CDW,CDW Corporation,Information Technology,large,SP500
COR,Cencora,Health Care,large,SP500
CNC,Centene Corporation,Health Care,large,SP500
CNP,CenterPoint Energy,Utilities,large,SP500
CF,CF Industries,Materials,large,SP500
CRL,Charles River Laboratories,Health Care,large,SP500
SCHW,Charles Schwab Corporation,Financials,large,SP500
CHTR,Charter Communications,Communication Services,large,SP500
CVX,Chevron Corporation,Energy,large,SP500
CMG,Chipotle Mexican Grill,Consumer Discretionary,large,SP500
CB,Chubb Limited,Financials,large,SP500
CHD,Church & Dwight,Consumer Staples,large,SP500
CIEN,Ciena,Information Technology,large,SP500
CI,Cigna,Health Care,large,SP500
CINF,Cincinnati Financial,Financials,large,SP500
CTAS,Cintas,Industrials,large,SP500
CSCO,Cisco,Information Technology,large,SP500
C,Citigroup,Financials,large,SP500
CFG,Citizens Financial Group,Financials,large,SP500
CLX,Clorox,Consumer Staples,large,SP500
CME,CME Group,Financials,large,SP500
CMS,CMS Energy,Utilities,large,SP500
KO,Coca-Cola Company (The),Consumer Staples,large,SP500
CTSH,Cognizant,Information Technology,large,SP500
COHR,Coherent Corp.,Information Technology,large,SP500
COIN,Coinbase,Financials,large,SP500
CL,Colgate-Palmolive,Consumer Staples,large,SP500
CMCSA,Comcast,Communication Services,large,SP500
FIX,Comfort Systems USA,Industrials,large,SP500
COP,ConocoPhillips,Energy,large,SP500
ED,Consolidated Edison,Utilities,large,SP500
STZ,Constellation Brands,Consumer Staples,large,SP500
CEG,Constellation Energy,Utilities,large,SP500
COO,Cooper Companies (The),Health Care,large,SP500
CPRT,Copart,Industrials,large,SP500
GLW,Corning Inc.,Information Technology,large,SP500
CPAY,Corpay,Financials,large,SP500
CTVA,Corteva,Materials,large,SP500
CSGP,CoStar Group,Real Estate,large,SP500
COST,Costco,Consumer Staples,large,SP500
CRH,CRH plc,Materials,large,SP500
CRWD,CrowdStrike,Information Technology,large,SP500
CCI,Crown Castle,Real Estate,large,SP500
CSX,CSX Corporation,Industrials,large,SP500
CMI,Cummins,Industrials,large,SP500
CVS,CVS Health,Health Care,large,SP500
DHR,Danaher Corporation,Health Care,large,SP500
DRI,Darden Restaurants,Consumer Discretionary,large,SP500
DDOG,Datadog,Information Technology,large,SP500
DVA,DaVita,Health Care,large,SP500
DECK,Deckers Brands,Consumer Discretionary,large,SP500
DE,Deere & Company,Industrials,large,SP500
DELL,Dell Technologies,Information Technology,large,SP500
DAL,Delta Air Lines,Industrials,large,SP500
DVN,Devon Energy,Energy,large,SP500
DXCM,Dexcom,Health Care,large,SP500
FANG,Diamondback Energy,Energy,large,SP500
DLR,Digital Realty,Real Estate,large,SP500
DG,Dollar General,Consumer Staples,large,SP500
DLTR,Dollar Tree,Consumer Staples,large,SP500
D,Dominion Energy,Utilities,large,SP500
DPZ,Domino's,Consumer Discretionary,large,SP500
DASH,DoorDash,Consumer Discretionary,large,SP500
DOV,Dover Corporation,Industrials,large,SP500
DOW,Dow Inc.,Materials,large,SP500
DHI,D. R. Horton,Consumer Discretionary,large,SP500
DTE,DTE Energy,Utilities,large,SP500
DUK,Duke Energy,Utilities,large,SP500
DD,DuPont,Materials,large,SP500
ETN,Eaton Corporation,Industrials,large,SP500
EBAY,eBay Inc.,Consumer Discretionary,large,SP500
ECHO,EchoStar,Communication Services,large,SP500
ECL,Ecolab,Materials,large,SP500
EIX,Edison International,Utilities,large,SP500
EW,Edwards Lifesciences,Health Care,large,SP500
EA,Electronic Arts,Communication Services,large,SP500
ELV,Elevance Health,Health Care,large,SP500
EME,Emcor,Industrials,large,SP500
EMR,Emerson Electric,Industrials,large,SP500
ETR,Entergy,Utilities,large,SP500
EOG,EOG Resources,Energy,large,SP500
EQT,EQT Corporation,Energy,large,SP500
EFX,Equifax,Industrials,large,SP500
EQIX,Equinix,Real Estate,large,SP500
EQR,Equity Residential,Real Estate,large,SP500
ERIE,Erie Indemnity,Financials,large,SP500
ESS,Essex Property Trust,Real Estate,large,SP500
EL,Estée Lauder Companies (The),Consumer Staples,large,SP500
EG,Everest Group,Financials,large,SP500
EVRG,Evergy,Utilities,large,SP500
ES,Eversource Energy,Utilities,large,SP500
EXC,Exelon,Utilities,large,SP500
EXE,Expand Energy,Energy,large,SP500
EXPE,Expedia Group,Consumer Discretionary,large,SP500
EXPD,Expeditors International,Industrials,large,SP500
EXR,Extra Space Storage,Real Estate,large,SP500
XOM,ExxonMobil,Energy,large,SP500
FFIV,"F5, Inc.",Information Technology,large,SP500
FDS,FactSet,Financials,large,SP500
FICO,Fair Isaac,Information Technology,large,SP500
FAST,Fastenal,Industrials,large,SP500
FRT,Federal Realty Investment Trust,Real Estate,large,SP500
FDX,FedEx,Industrials,large,SP500
FDXF,FedEx Freight,Industrials,large,SP500
FIS,Fidelity National Information Services,Financials,large,SP500
FITB,Fifth Third Bancorp,Financials,large,SP500
FSLR,First Solar,Information Technology,large,SP500
FE,FirstEnergy,Utilities,large,SP500
FISV,Fiserv,Financials,large,SP500
FLEX,Flex Ltd.,Information Technology,large,SP500
F,Ford Motor Company,Consumer Discretionary,large,SP500
FTNT,Fortinet,Information Technology,large,SP500
FTV,Fortive,Industrials,large,SP500
FOXA,Fox Corporation (Class A),Communication Services,large,SP500
FOX,Fox Corporation (Class B),Communication Services,large,SP500
BEN,Franklin Resources,Financials,large,SP500
FCX,Freeport-McMoRan,Materials,large,SP500
GRMN,Garmin,Consumer Discretionary,large,SP500
IT,Gartner,Information Technology,large,SP500
GE,GE Aerospace,Industrials,large,SP500
GEHC,GE HealthCare,Health Care,large,SP500
GEV,GE Vernova,Industrials,large,SP500
GEN,Gen Digital,Information Technology,large,SP500
GNRC,Generac,Industrials,large,SP500
GD,General Dynamics,Industrials,large,SP500
GIS,General Mills,Consumer Staples,large,SP500
GM,General Motors,Consumer Discretionary,large,SP500
GPC,Genuine Parts Company,Consumer Discretionary,large,SP500
GILD,Gilead Sciences,Health Care,large,SP500
GPN,Global Payments,Financials,large,SP500
GL,Globe Life,Financials,large,SP500
GDDY,GoDaddy,Information Technology,large,SP500
GS,Goldman Sachs,Financials,large,SP500
HAL,Halliburton,Energy,large,SP500
HIG,Hartford (The),Financials,large,SP500
HAS,Hasbro,Consumer Discretionary,large,SP500
HCA,HCA Healthcare,Health Care,large,SP500
DOC,Healthpeak Properties,Real Estate,large,SP500
HSIC,Henry Schein,Health Care,large,SP500
HSY,Hershey Company (The),Consumer Staples,large,SP500
HPE,Hewlett Packard Enterprise,Information Technology,large,SP500
HLT,Hilton Worldwide,Consumer Discretionary,large,SP500
HD,Home Depot (The),Consumer Discretionary,large,SP500
HONA,Honeywell Aerospace,Industrials,large,SP500
HON,Honeywell Technologies,Industrials,large,SP500
HRL,Hormel Foods,Consumer Staples,large,SP500
HST,Host Hotels & Resorts,Real Estate,large,SP500
HWM,Howmet Aerospace,Industrials,large,SP500
HPQ,HP Inc.,Information Technology,large,SP500
HUBB,Hubbell Incorporated,Industrials,large,SP500
HUM,Humana,Health Care,large,SP500
HBAN,Huntington Bancshares,Financials,large,SP500
HII,Huntington Ingalls Industries,Industrials,large,SP500
IBM,IBM,Information Technology,large,SP500
IEX,IDEX Corporation,Industrials,large,SP500
IDXX,Idexx Laboratories,Health Care,large,SP500
ITW,Illinois Tool Works,Industrials,large,SP500
INCY,Incyte,Health Care,large,SP500
IR,Ingersoll Rand,Industrials,large,SP500
PODD,Insulet Corporation,Health Care,large,SP500
INTC,Intel,Information Technology,large,SP500
IBKR,Interactive Brokers,Financials,large,SP500
ICE,Intercontinental Exchange,Financials,large,SP500
IFF,International Flavors & Fragrances,Materials,large,SP500
IP,International Paper,Materials,large,SP500
INTU,Intuit,Information Technology,large,SP500
ISRG,Intuitive Surgical,Health Care,large,SP500
IVZ,Invesco,Financials,large,SP500
INVH,Invitation Homes,Real Estate,large,SP500
IQV,IQVIA,Health Care,large,SP500
IRM,Iron Mountain,Real Estate,large,SP500
JBHT,J.B. Hunt,Industrials,large,SP500
JBL,Jabil,Information Technology,large,SP500
JKHY,Jack Henry & Associates,Financials,large,SP500
J,Jacobs Solutions,Industrials,large,SP500
JNJ,Johnson & Johnson,Health Care,large,SP500
JCI,Johnson Controls,Industrials,large,SP500
JPM,JPMorgan Chase,Financials,large,SP500
KVUE,Kenvue,Consumer Staples,large,SP500
KDP,Keurig Dr Pepper,Consumer Staples,large,SP500
KEY,KeyCorp,Financials,large,SP500
KEYS,Keysight Technologies,Information Technology,large,SP500
KMB,Kimberly-Clark,Consumer Staples,large,SP500
KIM,Kimco Realty,Real Estate,large,SP500
KMI,Kinder Morgan,Energy,large,SP500
KKR,KKR & Co.,Financials,large,SP500
KLAC,KLA Corporation,Information Technology,large,SP500
KHC,Kraft Heinz,Consumer Staples,large,SP500
KR,Kroger,Consumer Staples,large,SP500
LHX,L3Harris,Industrials,large,SP500
LH,Labcorp,Health Care,large,SP500
LRCX,Lam Research,Information Technology,large,SP500
LVS,Las Vegas Sands,Consumer Discretionary,large,SP500
LDOS,Leidos,Industrials,large,SP500
LEN,Lennar,Consumer Discretionary,large,SP500
LII,Lennox International,Industrials,large,SP500
LLY,Lilly (Eli),Health Care,large,SP500
LIN,Linde plc,Materials,large,SP500
LYV,Live Nation Entertainment,Communication Services,large,SP500
LMT,Lockheed Martin,Industrials,large,SP500
L,Loews Corporation,Financials,large,SP500
LOW,Lowe's,Consumer Discretionary,large,SP500
LULU,Lululemon Athletica,Consumer Discretionary,large,SP500
LITE,Lumentum,Information Technology,large,SP500
LYB,LyondellBasell,Materials,large,SP500
MTB,M&T Bank,Financials,large,SP500
MPC,Marathon Petroleum,Energy,large,SP500
MAR,Marriott International,Consumer Discretionary,large,SP500
MRSH,Marsh McLennan,Financials,large,SP500
MLM,Martin Marietta Materials,Materials,large,SP500
MRVL,Marvell Technology,Information Technology,large,SP500
MAS,Masco,Industrials,large,SP500
MA,Mastercard,Financials,large,SP500
MKC,McCormick & Company,Consumer Staples,large,SP500
MCD,McDonald's,Consumer Discretionary,large,SP500
MCK,McKesson Corporation,Health Care,large,SP500
MDT,Medtronic,Health Care,large,SP500
MRK,Merck & Co.,Health Care,large,SP500
META,Meta Platforms,Communication Services,large,SP500
MET,MetLife,Financials,large,SP500
MTD,Mettler Toledo,Health Care,large,SP500
MGM,MGM Resorts,Consumer Discretionary,large,SP500
MCHP,Microchip Technology,Information Technology,large,SP500
MU,Micron Technology,Information Technology,large,SP500
MSFT,Microsoft,Information Technology,large,SP500
MAA,Mid-America Apartment Communities,Real Estate,large,SP500
MRNA,Moderna,Health Care,large,SP500
TAP,Molson Coors Beverage Company,Consumer Staples,large,SP500
MDLZ,Mondelez International,Consumer Staples,large,SP500
MPWR,Monolithic Power Systems,Information Technology,large,SP500
MNST,Monster Beverage,Consumer Staples,large,SP500
MCO,Moody's Corporation,Financials,large,SP500
MS,Morgan Stanley,Financials,large,SP500
MOS,Mosaic Company (The),Materials,large,SP500
MSI,Motorola Solutions,Information Technology,large,SP500
MSCI,MSCI Inc.,Financials,large,SP500
NDAQ,"Nasdaq, Inc.",Financials,large,SP500
NTAP,NetApp,Information Technology,large,SP500
NFLX,Netflix,Communication Services,large,SP500
NEM,Newmont,Materials,large,SP500
NWSA,News Corp (Class A),Communication Services,large,SP500
NWS,News Corp (Class B),Communication Services,large,SP500
NEE,NextEra Energy,Utilities,large,SP500
NKE,"Nike, Inc.",Consumer Discretionary,large,SP500
NI,NiSource,Utilities,large,SP500
NDSN,Nordson Corporation,Industrials,large,SP500
NSC,Norfolk Southern,Industrials,large,SP500
NTRS,Northern Trust,Financials,large,SP500
NOC,Northrop Grumman,Industrials,large,SP500
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,large,SP500
NRG,NRG Energy,Utilities,large,SP500
NUE,Nucor,Materials,large,SP500
NVDA,Nvidia,Information Technology,large,SP500
NVR,"NVR, Inc.",Consumer Discretionary,large,SP500
NXPI,NXP Semiconductors,Information Technology,large,SP500
ORLY,O’Reilly Automotive,Consumer Discretionary,large,SP500
OXY,Occidental Petroleum,Energy,large,SP500
ODFL,Old Dominion,Industrials,large,SP500
OMC,Omnicom Group,Communication Services,large,SP500
ON,ON Semiconductor,Information Technology,large,SP500
OKE,Oneok,Energy,large,SP500
ORCL,Oracle Corporation,Information Technology,large,SP500
OTIS,Otis Worldwide,Industrials,large,SP500
PCAR,Paccar,Industrials,large,SP500
PKG,Packaging Corporation of America,Materials,large,SP500
PLTR,Palantir Technologies,Information Technology,large,SP500
PANW,Palo Alto Networks,Information Technology,large,SP500
PSKY,Paramount Skydance Corporation,Communication Services,large,SP500
PH,Parker Hannifin,Industrials,large,SP500
PAYX,Paychex,Industrials,large,SP500
PYPL,PayPal,Financials,large,SP500
PNR,Pentair,Industrials,large,SP500
PEP,PepsiCo,Consumer Staples,large,SP500
PFE,Pfizer,Health Care,large,SP500
PCG,PG&E Corporation,Utilities,large,SP500
PM,Philip Morris International,Consumer Staples,large,SP500
PSX,Phillips 66,Energy,large,SP500
PNW,Pinnacle West Capital,Utilities,large,SP500
PNC,PNC Financial Services,Financials,large,SP500
PPG,PPG Industries,Materials,large,SP500
PPL,PPL Corporation,Utilities,large,SP500
PFG,Principal Financial Group,Financials,large,SP500
PG,Procter & Gamble,Consumer Staples,large,SP500
PGR,Progressive Corporation,Financials,large,SP500
PLD,Prologis,Real Estate,large,SP500
PRU,Prudential Financial,Financials,large,SP500
PEG,Public Service Enterprise Group,Utilities,large,SP500
PTC,PTC Inc.,Information Technology,large,SP500
PSA,Public Storage,Real Estate,large,SP500
PHM,PulteGroup,Consumer Discretionary,large,SP500
PWR,Quanta Services,Industrials,large,SP500
QCOM,Qualcomm,Information Technology,large,SP500
DGX,Quest Diagnostics,Health Care,large,SP500
Q,Qnity Electronics,Information Technology,large,SP500
RL,Ralph Lauren Corporation,Consumer Discretionary,large,SP500
RJF,Raymond James Financial,Financials,large,SP500
RTX,RTX Corporation,Industrials,large,SP500
O,Realty Income,Real Estate,large,SP500
REG,Regency Centers,Real Estate,large,SP500
REGN,Regeneron Pharmaceuticals,Health Care,large,SP500
RF,Regions Financial Corporation,Financials,large,SP500
RSG,Republic Services,Industrials,large,SP500
RMD,ResMed,Health Care,large,SP500
RVTY,Revvity,Health Care,large,SP500
HOOD,Robinhood Markets,Financials,large,SP500
ROK,Rockwell Automation,Industrials,large,SP500
ROL,"Rollins, Inc.",Industrials,large,SP500
ROP,Roper Technologies,Information Technology,large,SP500
ROST,Ross Stores,Consumer Discretionary,large,SP500
RCL,Royal Caribbean Group,Consumer Discretionary,large,SP500
SPGI,S&P Global,Financials,large,SP500
CRM,Salesforce,Information Technology,large,SP500
SNDK,Sandisk,Information Technology,large,SP500
SBAC,SBA Communications,Real Estate,large,SP500
SLB,Schlumberger,Energy,large,SP500
STX,Seagate Technology,Information Technology,large,SP500
SRE,Sempra,Utilities,large,SP500
NOW,ServiceNow,Information Technology,large,SP500
SHW,Sherwin-Williams,Materials,large,SP500
SPG,Simon Property Group,Real Estate,large,SP500
SWKS,Skyworks Solutions,Information Technology,large,SP500
SJM,J.M. Smucker Company (The),Consumer Staples,large,SP500
SW,Smurfit Westrock,Materials,large,SP500
SNA,Snap-on,Industrials,large,SP500
SOLV,Solventum,Health Care,large,SP500
SO,Southern Company,Utilities,large,SP500
LUV,Southwest Airlines,Industrials,large,SP500
SWK,Stanley Black & Decker,Industrials,large,SP500
SBUX,Starbucks,Consumer Discretionary,large,SP500
STT,State Street Corporation,Financials,large,SP500
STLD,Steel Dynamics,Materials,large,SP500
STE,Steris,Health Care,large,SP500
SYK,Stryker Corporation,Health Care,large,SP500
SMCI,Supermicro,Information Technology,large,SP500
SYF,Synchrony Financial,Financials,large,SP500
SNPS,Synopsys,Information Technology,large,SP500
SYY,Sysco,Consumer Staples,large,SP500
TMUS,T-Mobile US,Communication Services,large,SP500
TROW,T. Rowe Price,Financials,large,SP500
TTWO,Take-Two Interactive,Communication Services,large,SP500
TPR,"Tapestry, Inc.",Consumer Discretionary,large,SP500
TRGP,Targa Resources,Energy,large,SP500
TGT,Target Corporation,Consumer Staples,large,SP500
TEL,TE Connectivity,Information Technology,large,SP500
TDY,Teledyne Technologies,Information Technology,large,SP500
TER,Teradyne,Information Technology,large,SP500
TSLA,"Tesla, Inc.",Consumer Discretionary,large,SP500
TXN,Texas Instruments,Information Technology,large,SP500
TPL,Texas Pacific Land Corporation,Energy,large,SP500
TXT,Textron,Industrials,large,SP500
TMO,Thermo Fisher Scientific,Health Care,large,SP500
TJX,TJX Companies,Consumer Discretionary,large,SP500
TKO,TKO Group Holdings,Communication Services,large,SP500
TTD,Trade Desk (The),Communication Services,large,SP500
TSCO,Tractor Supply,Consumer Discretionary,large,SP500
TT,Trane Technologies,Industrials,large,SP500
TDG,TransDigm Group,Industrials,large,SP500
TRV,Travelers Companies (The),Financials,large,SP500
TRMB,Trimble Inc.,Information Technology,large,SP500
TFC,Truist Financial,Financials,large,SP500
TYL,Tyler Technologies,Information Technology,large,SP500
TSN,Tyson Foods,Consumer Staples,large,SP500
USB,U.S. Bancorp,Financials,large,SP500
UBER,Uber,Industrials,large,SP500
UDR,"UDR, Inc.",Real Estate,large,SP500
ULTA,Ulta Beauty,Consumer Discretionary,large,SP500
UNP,Union Pacific Corporation,Industrials,large,SP500
UAL,United Airlines Holdings,Industrials,large,SP500
UPS,United Parcel Service,Industrials,large,SP500
URI,United Rentals,Industrials,large,SP500
UNH,UnitedHealth Group,Health Care,large,SP500
UHS,Universal Health Services,Health Care,large,SP500
VLO,Valero Energy,Energy,large,SP500
VEEV,Veeva Systems,Health Care,large,SP500
VTR,Ventas,Real Estate,large,SP500
VLTO,Veralto,Industrials,large,SP500
VRSN,Verisign,Information Technology,large,SP500
VRSK,Verisk Analytics,Industrials,large,SP500
VZ,Verizon,Communication Services,large,SP500
VRTX,Vertex Pharmaceuticals,Health Care,large,SP500
VRT,Vertiv,Industrials,large,SP500
VTRS,Viatris,Health Care,large,SP500
VICI,Vici Properties,Real Estate,large,SP500
V,Visa Inc.,Financials,large,SP500
VST,Vistra Corp.,Utilities,large,SP500
VMC,Vulcan Materials Company,Materials,large,SP500
WRB,W. R. Berkley Corporation,Financials,large,SP500
GWW,W. W. Grainger,Industrials,large,SP500
WAB,Wabtec,Industrials,large,SP500
WMT,Walmart,Consumer Staples,large,SP500
DIS,Walt Disney Company (The),Communication Services,large,SP500
WBD,Warner Bros. Discovery,Communication Services,large,SP500
WM,Waste Management,Industrials,large,SP500
WAT,Waters Corporation,Health Care,large,SP500
WEC,WEC Energy Group,Utilities,large,SP500
WFC,Wells Fargo,Financials,large,SP500
WELL,Welltower,Real Estate,large,SP500
WST,West Pharmaceutical Services,Health Care,large,SP500
WDC,Western Digital,Information Technology,large,SP500
WY,Weyerhaeuser,Real Estate,large,SP500
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,large,SP500
WMB,Williams Companies,Energy,large,SP500
WTW,Willis Towers Watson,Financials,large,SP500
WDAY,"Workday, Inc.",Information Technology,large,SP500
WYNN,Wynn Resorts,Consumer Discretionary,large,SP500
XEL,Xcel Energy,Utilities,large,SP500
XYL,Xylem Inc.,Industrials,large,SP500
YUM,Yum! Brands,Consumer Discretionary,large,SP500
ZBRA,Zebra Technologies,Information Technology,large,SP500
ZBH,Zimmer Biomet,Health Care,large,SP500
ZTS,Zoetis,Health Care,large,SP500
AA,Alcoa,Materials,mid,SP400
AAL,American Airlines Group,Industrials,mid,SP400
AAON,AAON,Industrials,mid,SP400
ACI,Albertsons,Consumer Staples,mid,SP400
ACM,AECOM,Industrials,mid,SP400
ADC,Agree Realty,Real Estate,mid,SP400
AEIS,Advanced Energy,Information Technology,mid,SP400
AFG,American Financial Group,Financials,mid,SP400
AGCO,AGCO,Industrials,mid,SP400
AHR,American Healthcare REIT,Real Estate,mid,SP400
AIT,Applied Industrial Technologies,Industrials,mid,SP400
ALGM,Allegro MicroSystems,Information Technology,mid,SP400
ALK,Alaska Air Group,Industrials,mid,SP400
ALLY,Ally Financial,Financials,mid,SP400
ALSN,Allison Transmission,Industrials,mid,SP400
ALV,Autoliv,Consumer Discretionary,mid,SP400
AM,Antero Midstream,Energy,mid,SP400
AMG,Affiliated Managers Group,Financials,mid,SP400
AMH,American Homes 4 Rent,Real Estate,mid,SP400
AMKR,Amkor Technology,Information Technology,mid,SP400
AN,AutoNation,Consumer Discretionary,mid,SP400
ANF,Abercrombie & Fitch,Consumer Discretionary,mid,SP400
APG,APi Group,Industrials,mid,SP400
APPF,AppFolio,Information Technology,mid,SP400
AR,Antero Resources,Energy,mid,SP400
ARMK,Aramark,Consumer Discretionary,mid,SP400
ARW,Arrow Electronics,Information Technology,mid,SP400
ARWR,Arrowhead Pharmaceuticals,Health Care,mid,SP400
ASB,Associated Bank,Financials,mid,SP400
ASH,Ashland Global,Materials,mid,SP400
ATI,ATI Inc.,Industrials,mid,SP400
ATR,AptarGroup,Materials,mid,SP400
AVAV,AeroVironment,Industrials,mid,SP400
AVNT,Avient,Materials,mid,SP400
AVT,Avnet,Information Technology,mid,SP400
AVTR,Avantor,Health Care,mid,SP400
AXTA,Axalta,Materials,mid,SP400
AYI,Acuity Brands,Industrials,mid,SP400
BAH,Booz Allen Hamilton,Industrials,mid,SP400
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,mid,SP400
BC,Brunswick,Consumer Discretionary,mid,SP400
BCO,Brink's,Industrials,mid,SP400
BDC,Belden Inc.,Information Technology,mid,SP400
BHF,Brighthouse Financial,Financials,mid,SP400
BILL,Bill Holdings,Information Technology,mid,SP400
BIO,Bio-Rad Laboratories,Health Care,mid,SP400
BJ,BJ's Wholesale Club,Consumer Staples,mid,SP400
BKH,Black Hills Corporation,Utilities,mid,SP400
BMRN,BioMarin Pharmaceutical,Health Care,mid,SP400
BRKR,Bruker,Health Care,mid,SP400
BROS,Dutch Bros Inc.,Consumer Discretionary,mid,SP400
BRX,Brixmor Property Group,Real Estate,mid,SP400
BSY,Bentley Systems,Information Technology,mid,SP400
BTSG,BrightSpring Health Services,Health Care,mid,SP400
BURL,Burlington Stores,Consumer Discretionary,mid,SP400
BWA,BorgWarner,Consumer Discretionary,mid,SP400
BWXT,BWX Technologies,Industrials,mid,SP400
BYD,Boyd Gaming,Consumer Discretionary,mid,SP400
CACI,CACI International,Industrials,mid,SP400
CAR,Avis Budget Group,Industrials,mid,SP400
CART,Maplebear Inc.,Consumer Staples,mid,SP400
CAVA,Cava Group,Consumer Discretionary,mid,SP400
CBSH,Commerce Bancshares,Financials,mid,SP400
CBT,Cabot Corp,Materials,mid,SP400
CCK,Crown Holdings,Materials,mid,SP400
CDE,Coeur Mining,Materials,mid,SP400
CDP,COPT Defense Properties,Real Estate,mid,SP400
CELH,Celsius Holdings,Consumer Staples,mid,SP400
CFR,Frost Bank,Financials,mid,SP400
CG,Carlyle Group (The),Financials,mid,SP400
CGNX,Cognex,Information Technology,mid,SP400
CHDN,Churchill Downs Inc.,Consumer Discretionary,mid,SP400
CHE,Chemed Corp.,Health Care,mid,SP400
CHH,Choice Hotels,Consumer Discretionary,mid,SP400
CHRD,Chord Energy,Energy,mid,SP400
CHWY,Chewy,Consumer Discretionary,mid,SP400
CLF,Cleveland-Cliffs,Materials,mid,SP400
CLH,Clean Harbors,Industrials,mid,SP400
CMC,Commercial Metals,Materials,mid,SP400
CNH,CNH Industrial,Industrials,mid,SP400
CNM,Core & Main,Industrials,mid,SP400
